date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19260701,0.10,-0.13,-0.37,0.15,0.11,0.09
19260702,0.14,-0.22,0.31,0.52,0.48,0.22
19260706,0.42,0.45,0.19,0.30,0.11,-0.24
19260707,0.05,-0.25,-0.59,0.07,0.13,0.75
19260708,-0.07,-0.02,0.08,0.37,0.17,0.59
19260709,-0.90,-0.01,0.12,-0.72,-0.76,-0.61
19260710,-0.07,0.20,0.18,0.91,0.54,0.46
19260712,-0.41,0.07,0.69,0.18,-0.11,0.35
19260713,0.11,-0.05,0.39,0.79,0.39,0.10
19260714,0.00,0.17,-0.26,0.23,-0.14,-0.38
19260715,0.45,-0.22,-0.17,-0.65,-0.29,-0.47
19260716,0.96,0.40,0.13,0.70,0.37,0.63
19260717,0.73,0.70,0.42,0.74,0.03,-0.19
19260719,0.03,0.30,-0.57,0.07,-0.01,-0.18
19260720,-1.02,-0.71,-0.60,-0.55,-0.43,-0.59
19260721,-0.22,-0.69,0.00,-0.66,-0.64,-0.16
19260722,-1.22,-0.91,-1.41,-0.97,-0.52,-1.23
19260723,0.30,-0.33,0.33,-0.01,0.00,0.03
19260724,0.54,0.41,0.09,-0.25,-0.11,0.08
19260726,0.26,0.02,0.19,0.79,0.45,0.42
19260727,-0.13,0.39,0.18,0.59,0.42,0.66
19260728,0.79,1.26,1.05,1.50,0.80,0.74
19260729,-0.14,-0.10,-0.87,0.92,0.20,-0.43
19260730,-0.23,-0.05,0.07,0.03,0.35,0.79
19260731,0.67,0.21,0.32,0.60,0.37,0.59
19260802,-0.41,1.09,0.72,1.22,0.79,0.16
19260803,1.12,-0.22,0.18,0.98,0.16,0.67
19260804,-0.07,-0.43,-0.03,-0.64,-0.19,-0.03
19260805,-0.13,0.03,0.45,-0.29,0.01,0.58
19260806,0.60,1.11,0.71,0.72,0.54,0.96
19260807,0.71,0.52,0.66,0.95,0.21,0.30
19260809,0.13,-0.13,0.31,0.59,-0.04,-0.03
19260810,-1.08,-0.94,-1.29,-1.99,-0.97,-1.37
19260811,-0.87,-0.17,-0.19,-0.68,-0.47,-0.70
19260812,0.12,0.43,0.43,0.99,0.78,1.48
19260813,-0.41,-0.27,0.17,0.73,0.65,0.67
19260814,0.68,1.18,0.53,1.05,0.42,0.32
19260816,0.37,0.16,0.84,-0.22,0.19,0.66
19260817,-0.56,-0.98,-0.55,-1.36,-0.68,-1.04
19260818,0.68,0.50,0.34,0.37,0.13,0.69
19260819,-0.42,-0.57,-0.42,-0.73,-0.51,-0.60
19260820,-0.89,-0.56,-0.14,-0.23,-0.14,-0.16
19260821,0.05,0.35,0.74,0.39,0.22,0.78
19260823,0.30,-0.21,0.91,0.81,0.20,1.14
19260824,-0.62,-0.78,-0.37,-1.10,-0.63,-1.49
19260825,-0.46,-0.66,-0.52,-0.31,-0.34,0.21
19260826,0.81,0.34,1.22,0.54,0.42,1.09
19260827,0.66,0.65,-0.15,0.19,0.39,0.14
19260828,0.18,0.88,0.19,0.37,0.19,0.28
19260830,0.01,0.32,0.48,-0.13,0.68,0.21
19260831,0.35,-0.14,0.15,0.55,0.71,0.66
19260901,1.24,0.95,1.02,0.58,0.43,0.58
19260902,-0.56,-0.11,0.03,-0.18,0.09,-0.10
19260903,0.58,-0.02,0.24,0.36,0.59,0.70
19260907,0.31,-0.18,0.58,0.96,0.30,0.23
19260908,-1.19,-0.35,-0.63,-0.52,-0.44,-0.96
19260909,-0.02,0.29,0.27,-0.02,-0.12,0.12
19260910,-0.78,-0.43,-0.99,-0.82,-0.80,-0.80
19260911,-0.22,-0.28,0.00,-0.57,-0.35,-0.53
19260913,-0.78,0.20,0.22,-0.04,0.04,-0.08
19260914,0.35,0.11,0.78,1.37,0.60,1.20
19260915,0.18,0.10,0.08,-0.20,-0.17,-0.39
19260916,-1.07,0.01,-0.63,-0.09,-0.28,-0.43
19260917,-1.23,-1.44,-1.25,-1.02,-0.87,-1.42
19260918,0.94,0.50,0.25,0.76,0.56,1.12
19260920,-0.95,-0.60,-0.61,-0.65,-0.59,-1.04
19260921,-0.07,0.29,-0.06,0.38,0.31,0.66
